distro,start_date,end_date,score,change
MX Linux,2021-10-05,2022-10-05,3046,down
EndeavourOS,2021-10-05,2022-10-05,2761,down
Mint,2021-10-05,2022-10-05,2187,down
Manjaro,2021-10-05,2022-10-05,1725,down
Pop!_OS,2021-10-05,2022-10-05,1368,down
Ubuntu,2021-10-05,2022-10-05,1267,down
Fedora,2021-10-05,2022-10-05,1120,down
Debian,2021-10-05,2022-10-05,1100,down
Garuda,2021-10-05,2022-10-05,1023,down
Zorin,2021-10-05,2022-10-05,812,down
openSUSE,2021-10-05,2022-10-05,773,level
elementary,2021-10-05,2022-10-05,736,down
Lite,2021-10-05,2022-10-05,694,up
KDE neon,2021-10-05,2022-10-05,625,level
antiX,2021-10-05,2022-10-05,559,level
Slackware,2021-10-05,2022-10-05,528,level
PCLinuxOS,2021-10-05,2022-10-05,458,level
Kali,2021-10-05,2022-10-05,440,level
Solus,2021-10-05,2022-10-05,409,level
Kubuntu,2021-10-05,2022-10-05,408,level
ArcoLinux,2021-10-05,2022-10-05,402,up
SparkyLinux,2021-10-05,2022-10-05,380,level
FreeBSD,2021-10-05,2022-10-05,373,level
EasyOS,2021-10-05,2022-10-05,357,up
Puppy,2021-10-05,2022-10-05,349,level
Linuxfx,2021-10-05,2022-10-05,346,up
Q4OS,2021-10-05,2022-10-05,343,down
AlmaLinux,2021-10-05,2022-10-05,336,level
Alpine,2021-10-05,2022-10-05,316,level
CentOS,2021-10-05,2022-10-05,316,level
Peppermint,2021-10-05,2022-10-05,316,level
Arch,2021-10-05,2022-10-05,305,down
Devuan,2021-10-05,2022-10-05,295,level
Lubuntu,2021-10-05,2022-10-05,291,level
Rocky,2021-10-05,2022-10-05,289,down
Tails,2021-10-05,2022-10-05,282,level
Bluestar,2021-10-05,2022-10-05,275,down
Super Grub2,2021-10-05,2022-10-05,275,level
Void,2021-10-05,2022-10-05,256,down
Nitrux,2021-10-05,2022-10-05,255,level
NixOS,2021-10-05,2022-10-05,247,level
Xubuntu,2021-10-05,2022-10-05,240,level
PureOS,2021-10-05,2022-10-05,236,level
Kodachi,2021-10-05,2022-10-05,221,level
ReactOS,2021-10-05,2022-10-05,216,level
Qubes,2021-10-05,2022-10-05,214,level
Gentoo,2021-10-05,2022-10-05,213,level
Parrot,2021-10-05,2022-10-05,211,up
GhostBSD,2021-10-05,2022-10-05,210,level
Mageia,2021-10-05,2022-10-05,209,level
Feren,2021-10-05,2022-10-05,205,level
Mabox,2021-10-05,2022-10-05,205,level
deepin,2021-10-05,2022-10-05,201,level
ALT,2021-10-05,2022-10-05,200,level
KaOS,2021-10-05,2022-10-05,199,level
Red Hat,2021-10-05,2022-10-05,199,level
Ubuntu MATE,2021-10-05,2022-10-05,197,level
Absolute,2021-10-05,2022-10-05,193,down
Voyager,2021-10-05,2022-10-05,192,level
EuroLinux,2021-10-05,2022-10-05,190,level
Artix,2021-10-05,2022-10-05,185,level
SmartOS,2021-10-05,2022-10-05,185,level
Bodhi,2021-10-05,2022-10-05,182,level
RebornOS,2021-10-05,2022-10-05,181,level
Kaisen,2021-10-05,2022-10-05,177,level
4MLinux,2021-10-05,2022-10-05,175,level
AV Linux,2021-10-05,2022-10-05,175,level
Gecko,2021-10-05,2022-10-05,173,level
Trisquel,2021-10-05,2022-10-05,173,level
Archcraft,2021-10-05,2022-10-05,171,level
Archman,2021-10-05,2022-10-05,171,level
Endless,2021-10-05,2022-10-05,166,level
Tiny Core,2021-10-05,2022-10-05,166,level
ExTiX,2021-10-05,2022-10-05,164,level
Slax,2021-10-05,2022-10-05,162,level
KNOPPIX,2021-10-05,2022-10-05,157,level
RasPiOS,2021-10-05,2022-10-05,157,level
Oracle,2021-10-05,2022-10-05,156,level
Clear,2021-10-05,2022-10-05,155,level
DragonFly,2021-10-05,2022-10-05,153,level
Elive,2021-10-05,2022-10-05,153,level
OpenMandriva,2021-10-05,2022-10-05,153,level
OpenBSD,2021-10-05,2022-10-05,152,level
NuTyX,2021-10-05,2022-10-05,150,level
ROSA,2021-10-05,2022-10-05,149,level
Emmabuntüs,2021-10-05,2022-10-05,146,level
Ubuntu Studio,2021-10-05,2022-10-05,146,level
Ubuntu Budgie,2021-10-05,2022-10-05,141,level
Snal,2021-10-05,2022-10-05,139,level
Robolinux,2021-10-05,2022-10-05,138,level
Haiku,2021-10-05,2022-10-05,137,level
MakuluLinux,2021-10-05,2022-10-05,137,level
BunsenLabs,2021-10-05,2022-10-05,136,level
Lakka,2021-10-05,2022-10-05,135,level
SystemRescue,2021-10-05,2022-10-05,135,down
siduction,2021-10-05,2022-10-05,131,level
JingOS,2021-10-05,2022-10-05,129,level
Porteus,2021-10-05,2022-10-05,120,level
ArchLabs,2021-10-05,2022-10-05,115,level
Salix,2021-10-05,2022-10-05,108,level
Neptune,2021-10-05,2022-10-05,105,up
Redcore,2021-10-05,2022-10-05,105,level
Freespire,2021-10-05,2022-10-05,102,level
LXLE,2021-10-05,2022-10-05,98,up
Calculate,2021-10-05,2022-10-05,92,level
openmamba,2021-10-05,2022-10-05,91,level
IPFire,2021-10-05,2022-10-05,90,level
UBports,2021-10-05,2022-10-05,82,level
Hyperbola,2021-10-05,2022-10-05,81,level
Septor,2021-10-05,2022-10-05,81,level
Whonix,2021-10-05,2022-10-05,80,level
Regata,2021-10-05,2022-10-05,79,level
LFS,2021-10-05,2022-10-05,78,level
Proxmox,2021-10-05,2022-10-05,78,level
TrueNAS,2021-10-05,2022-10-05,77,level
FuguIta,2021-10-05,2022-10-05,74,level
Zenwalk,2021-10-05,2022-10-05,74,level
Rescuezilla,2021-10-05,2022-10-05,73,level
Venom,2021-10-05,2022-10-05,72,level
ClearOS,2021-10-05,2022-10-05,71,level
ArchBang,2021-10-05,2022-10-05,70,level
Batocera,2021-10-05,2022-10-05,70,level
Clonezilla,2021-10-05,2022-10-05,70,level
MidnightBSD,2021-10-05,2022-10-05,70,level
Obarun,2021-10-05,2022-10-05,70,level
SUSE,2021-10-05,2022-10-05,69,level
Ubuntu Kylin,2021-10-05,2022-10-05,68,level
SliTaz,2021-10-05,2022-10-05,67,level
Pardus,2021-10-05,2022-10-05,66,level
CRUX,2021-10-05,2022-10-05,65,level
BlackArch,2021-10-05,2022-10-05,64,level
OpenMediaVault,2021-10-05,2022-10-05,64,level
KolibriOS,2021-10-05,2022-10-05,61,level
OSMC,2021-10-05,2022-10-05,61,level
Slackel,2021-10-05,2022-10-05,61,level
T2,2021-10-05,2022-10-05,61,level
Anarchy,2021-10-05,2022-10-05,60,level
GParted,2021-10-05,2022-10-05,60,level
NetBSD,2021-10-05,2022-10-05,60,level
Salient,2021-10-05,2022-10-05,60,level
Parabola,2021-10-05,2022-10-05,59,level
Exe,2021-10-05,2022-10-05,58,level
LibreELEC,2021-10-05,2022-10-05,58,level
Plop,2021-10-05,2022-10-05,57,level
Star,2021-10-05,2022-10-05,57,level
Funtoo,2021-10-05,2022-10-05,56,level
OPNsense,2021-10-05,2022-10-05,56,level
Ultimate,2021-10-05,2022-10-05,56,level
Debian Edu,2021-10-05,2022-10-05,55,level
3CX,2021-10-05,2022-10-05,54,level
Netrunner,2021-10-05,2022-10-05,54,level
NomadBSD,2021-10-05,2022-10-05,54,level
Pearl,2021-10-05,2022-10-05,54,level
pfSense,2021-10-05,2022-10-05,54,level
OpenIndiana,2021-10-05,2022-10-05,53,level
Porteus Kiosk,2021-10-05,2022-10-05,53,level
Ultramarine,2021-10-05,2022-10-05,53,level
Wifislax,2021-10-05,2022-10-05,52,level
Guix System,2021-10-05,2022-10-05,51,level
Parted Magic,2021-10-05,2022-10-05,51,level
Berry,2021-10-05,2022-10-05,50,level
Live Raizo,2021-10-05,2022-10-05,50,level
Murena,2021-10-05,2022-10-05,50,level
BigLinux,2021-10-05,2022-10-05,49,level
Finnix,2021-10-05,2022-10-05,49,down
AcademiX,2021-10-05,2022-10-05,48,level
TurnKey,2021-10-05,2022-10-05,48,level
Bedrock,2021-10-05,2022-10-05,47,level
Ubuntu DP,2021-10-05,2022-10-05,47,level
Univention,2021-10-05,2022-10-05,47,level
SELKS,2021-10-05,2022-10-05,46,level
